URI	REG_MESO	TR	SEARCH	EN	TYPE	LON	LAT	AR	AR_Alt	AR_Sort	AMBIG	TRUETOP
NA	al-Andalus	LOW	Shaqura	NA	loc	-2.749329	38.225667	شقورة	شقورة	شقورة	0 	0
NA	al-Andalus	LOW	NA	NA	loc	-8.43822	37.18921	شلب	شلب	شلب	0 	0
NA	al-Andalus	LOW	Mankab	NA	loc	-3.69072	36.73393	المنكب	المنكب	منكب	0 	0
RUNDA_051W367N_S	al-Andalus	Rundaŧ	Runda|Ronda	NA	towns	-5.16709	36.74231	رندة	رندة	رندة	0 	0
NA	al-Jazira	LOW	NA	NA	loc	43.643188	37.60357	الهكارية	الهكارية	هكارية	0 	0
NA	al-Maghrib	NA	NA	NA	loc	3.04197	36.7525	الجزائر	الجزائر	جزائر	0 	0
NA	al-Qabq	LOW	NA	NA	locMan	45.131836	41.394943	دوين	دوين	دوين	0 	0
NA	al-Rum	LOW	NA	NA	loc	37.01611	39.74833	سيواس	سيواس	سيواس	0 	0
NA	al-Sham	LOW	NA	NA	loc	36.36515	33.55869	حرستا	حرستا	حرستا	0 	0
NA	al-Sham	NA	NA	NA	loc	36.1005	33.72488	الزبداني	الزبداني	زبداني	0 	0
NA	al-Sham	NA	NA	NA	loc	36.35385	33.5261	زملكا	زملكا	زملكا	0 	0
NA	al-Sham	LOW	NA	NA	locMan	36.4027	33.57175	دومة	دومة	دومة	0 	0
NA	al-Urdunn=&=Filastin	LOW	NA	NA	loc	35.333	30	الحميمة	الحميمة	حميمة	0 	0
NA	Andalus_RE	LOW	NA	NA	loc	-2.77259	37.49073	بسطة	بسطة	بسطة	0 	0
Andalus_RE	Andalus_RE	al-Andalus	al-Andalus|Andalusia	NA	MESO	-3.735352	39.578597	الأندلس	الاندلس	اندلس	0 	1
QURTUBA_047W379N_S	Andalus_RE	Qurṭubaŧ	Qurtuba	NA	metropoles	-4.78135	37.91898	قرطبة	قرطبة	قرطبة	0 	1
ISHBILIYYA_059W374N_R	Andalus_RE	Išbīliyyaŧ	Ishbiliyya	NA	regions	-5.96199	37.4079	إشبيلية	إشبيلية	اشبيلية	0 	0
BAJA_078W380N_R	Andalus_RE	Bāǧaŧ	Baja	NA	regions	-7.80444	38.00689	باجة	باجة	باجة	0 	0
BAJJANA_024W369N_R	Andalus_RE	Baǧǧānaŧ	Bajjana	NA	regions	-2.41826	36.95657	بجانة	بجانة	بجانة	0 	0
BATALYUS_069W388N_R	Andalus_RE	Baṭalyūs	Batalyus|Batalyuth	NA	regions	-6.99606	38.835	بطليوس	بطليوس|بطليوث	بطليوس	0 	1
BALANSIYYA_004W394N_R	Andalus_RE	Balansiyyaŧ	Balansiyya	NA	regions	-0.41486	39.43516	بلنسية	بلنسية	بلنسية	0 	0
TUDMIR_013W379N_R	Andalus_RE	Tudmīr	Tudmir	NA	regions	-1.34462	37.95834	تدمير	تدمير	تدمير	0 	0
TUTILA_016W420N_R	Andalus_RE	Tuṭīlaŧ	Tutila	NA	regions	-1.62697	42.04634	تطيلة	تطيلة	تطيلة	0 	0
JAZIRAKHADRA_054W361N_R	Andalus_RE	Ǧazīraŧ=al-Ḫaḍrāʾ	Jazira=al-Khadra	NA	regions	-5.43793	36.16359	جزيرة=الخضراء	جزيرة=الخضراء	جزيرة=الخضراء	0 	0
KHUSHUNUBA_079W370N_R	Andalus_RE	Ḫušunubaŧ	Khushunuba|Ukhshunuba	NA	regions	-7.90515	37.06463	خشنبة	خشنبة|أخشنبة	خشنبة	0 	0
RAYYA_044W369N_R	Andalus_RE	Rayyaŧ	Rayya|Rayyuh	NA	regions	-4.40368	36.98351	رية	رية|ريه	رية	0 	0
SARAQUSA_009W416N_R	Andalus_RE	Saraqūsaŧ	Saraqusa|Saraqusta	NA	regions	-0.9292	41.63368	سرقسطة	سرقوسة|سرقوسطة|سرقسطة	سرقسطة	0 	1
SHADHUNA_059W364N_R	Andalus_RE	Šaḏūnaŧ	Shadhuna|Shaduna	NA	regions	-5.91433	36.4664	شذونة	شذونة|شدونة	شذونة	0 	1
TULAYTILA_040W398N_R	Andalus_RE	Ṭulayṭilaŧ	Tulaytila	NA	regions	-4.0521	39.88926	طليطلة	طليطلة	طليطلة	0 	1
FAHSBALLUT_048W386N_R	Andalus_RE	Faḥṣ=al-Ballūṭ	Fahs=al-Ballut	NA	regions	-4.89554	38.63018	فحص=البلوط	فحص=البلوط	فحص=البلوط	0 	0
FIRRISH_055W379N_R	Andalus_RE	Firrīš	Firrish|Qarsis	NA	regions	-5.58702	37.95728	فريش	فريش|قرسيس	فريش	0 	0
LIBIRA_036W372N_R	Andalus_RE	Libīraŧ	Libira|Ilbira	NA	regions	-3.66814	37.22734	إلبيرة	لبيرة|إلبيرة	لبيرة	0 	0
MALIQA_044W367N_R	Andalus_RE	Māliqaŧ	Maliqa	NA	regions	-4.43066	36.74791	مالقة	مالقة	مالقة	0 	0
MAYURQA_299E395N_R	Andalus_RE	Mayūrqaŧ	Mayurqa	NA	regions	2.999268	39.539634	ميورقة	ميورقة	ميورقة	0 	0
WADIHIJARA_031W406N_R	Andalus_RE	Wādī=al-Ḥijāraŧ	Wadi=al-Hijara	NA	regions	-3.15111	40.6491	وادي=الحجارة	وادي=الحجارة	وادي=الحجارة	0 	0
WASHQA_003W421N_R	Andalus_RE	Wašqaŧ	Washqa	NA	regions	-0.35371	42.16109	وشقة	وشقة	وشقة	0 	0
YABISA_014E389N_R	Andalus_RE	Yābisaŧ	Yabisa	NA	regions	1.41141	38.94978	يابسة	يابسة	يابسة	0 	0
ABNASH_039W396N_S	Andalus_RE	Abnaš	Abnash	NA	towns	-3.91003	39.63212	أبنش	أبنش	ابنش	0 	0
ARBUNA_030E431N_S	Andalus_RE	Arbūnaŧ	Arbuna	NA	towns	3.00118	43.18643	أربونة	أربونة	اربونة	0 	0
ARJIDUNA_044W370N_S	Andalus_RE	Arǧidūnaŧ	Arjiduna	NA	towns	-4.42886	37.08687	أرجدونة	أرجدونة	ارجدونة	0 	0
ARJUNA_040W379N_S	Andalus_RE	Arǧūnaŧ	Arjuna	NA	towns	-4.053	37.9204	أرجونة	أرجونة	ارجونة	0 	0
ISTIJA_051W375N_S	Andalus_RE	Istiǧaŧ	Istija	NA	towns	-5.10865	37.53493	إستجة	إستجة	استجة	0 	0
ISHBILIYYA_059W374N_S	Andalus_RE	Išbīliyyaŧ	Ishbiliyya	NA	towns	-5.96199	37.4079	إشبيلية	إشبيلية	اشبيلية	0 	1
URYULA_009W380N_S	Andalus_RE	Uryūlaŧ	Uryula	NA	towns	-0.94401	38.08483	أوريولة	اوريولة	اوريولة	0 	0
BAJA_078W380N_S	Andalus_RE	Bāǧaŧ	Baja	NA	towns	-7.80444	38.00689	باجة	باجة	باجة	0 	0
BAJJANA_024W369N_S	Andalus_RE	Baǧǧānaŧ	Bajjana	NA	towns	-2.41826	36.95657	بجانة	بجانة	بجانة	0 	0
BASH_071W388N_S	Andalus_RE	al-Baš	al-Bash|Albas	NA	towns	-7.1741	38.87561	البش	البش|ألبس	بش	0 	0
BATALYUS_069W388N_S	Andalus_RE	Baṭalyūs	Batalyus|Batalyuth	NA	towns	-6.99606	38.835	بطليوس	بطليوس|بطليوث	بطليوس	0 	0
BALANSIYYA_004W394N_S	Andalus_RE	Balansiyyaŧ	Balansiyya	NA	towns	-0.41486	39.43516	بلنسية	بلنسية	بلنسية	0 	0
BAYYASA_034W379N_S	Andalus_RE	Bayyāsaŧ	Bayyasa	NA	towns	-3.45773	37.9998	بياسة	بياسة	بياسة	0 	0
BIZA_078W390N_S	Andalus_RE	Bīzaŧ	Biza	NA	towns	-7.87188	39.02806	بيزة	بيزة	بيزة	0 	0
BAYDA_005E418N_S	Andalus_RE	al-Bayḍāʾ	al-Bayda	NA	towns	0.57785	41.83632	البيضاء	البيضاء	بيضاء	0 	0
BAYGHU_042W374N_S	Andalus_RE	Bayġū	Bayghu	NA	towns	-4.20406	37.45788	بيغو	بيغو	بيغو	0 	0
TARAJILA_059W394N_S	Andalus_RE	Taraǧīlaŧ	Tarajila	NA	towns	-5.93861	39.48654	ترجيلة	ترجيلة	ترجيلة	0 	0
TUTILA_016W420N_S	Andalus_RE	Tuṭīlaŧ	Tutila	NA	towns	-1.62697	42.04634	تطيلة	تطيلة	تطيلة	0 	0
JABALUYUN_069W374N_S	Andalus_RE	Ǧabal=al-ʿUyūn	Jabal=al-Uyun	NA	towns	-6.99696	37.41112	جبل=العيون	جبل=العيون	جبل=العيون	0 	0
JIRUNDA_028E419N_S	Andalus_RE	Ǧirundaŧ	Jirunda	NA	towns	2.84472	41.93607	جرندة	جرندة	جرندة	0 	0
JAZIRAJABALTARIQ_053W361N_S	Andalus_RE	Ǧazīraŧ=Ǧabal=Ṭāriq	Jazira=Jabal=Tariq	NA	towns	-5.33071	36.16752	جزيرة=جبل=طارق	جزيرة=جبل=طارق	جزيرة=جبل=طارق	0 	0
JALMANIYA_072W387N_S	Andalus_RE	Ǧalmāniyaŧ	Jalmaniya	NA	towns	-7.22985	38.77894	جلمانية	جلمانية	جلمانية	0 	0
JAYYAN_038W377N_S	Andalus_RE	Ǧayyān	Jayyan	NA	towns	-3.80302	37.78977	جيان	جيان	جيان	0 	0
HISNBULKUNA_042W378N_S	Andalus_RE	Ḥiṣn=Bulkūnaŧ	Hisn=Bulkuna	NA	towns	-4.22025	37.87073	حصن=بلكونة	حصن=بلكونة	حصن=بلكونة	0 	0
KHUSHUNUBA_079W370N_S	Andalus_RE	Ḫušunubaŧ	Khushunuba|Ukhshunuba	NA	towns	-7.90515	37.06463	خشنبة	خشنبة|أخشنبة	خشنبة	0 	0
DANIYA_001E388N_S	Andalus_RE	Dāniyaŧ	Daniya|Dénia	Dénia	towns	0.105056	38.838799	دانية	دانية	دانية	0 	0
